,accommodates,bathrooms,bedrooms,beds,city,latitude,longitude,metropolitan,property_type,zipcode_clean,id,listing_id,price
0,2.0,1.0,1.0,1.0,astoria,40.77318716668108,-73.9168744476217,NYC,Apartment,11102,16975094,16975094,117.03746532096879
293,3.0,1.0,1.0,2.0,queens,40.773484739571145,-73.91799059325533,NYC,Apartment,11102,13055480,13055480,127.04765571560557
446,4.0,2.0,2.0,2.0,queens,40.7768758586101,-73.9278289248121,NYC,Apartment,11102,12972200,12972200,180.39528142506296
528,4.0,1.0,1.0,2.0,queens,40.777183265401355,-73.92675944709045,NYC,Apartment,11102,3250448,3250448,134.66504439765208
584,4.0,1.0,1.0,1.0,queens,40.77295205054334,-73.91708239175114,NYC,Apartment,11102,6208444,6208444,134.66504439765208
701,2.0,1.0,1.0,1.0,astoria,40.77696647381354,-73.92237953003269,NYC,Apartment,11102,10283574,10283574,117.03746532096879
982,11.0,1.0,3.0,6.0,queens,40.775132646803954,-73.92414431206552,NYC,Apartment,11102,14856378,14856378,206.60481609130096
1281,2.0,1.0,1.0,1.0,queens,40.78142602175731,-73.92010328124528,NYC,Apartment,11102,15581667,15581667,117.03746532096879
1369,8.0,1.0,3.0,4.0,queens,40.76538347751017,-73.92342918104154,NYC,Apartment,11102,12357576,12357576,193.7078789900039
1694,3.0,1.0,1.0,1.0,astoria,40.77510506237868,-73.92983471397322,NYC,Apartment,11102,16824252,16824252,127.04765571560557
1983,1.0,1.0,1.0,1.0,queens,40.76646530476637,-73.92044507969548,NYC,Apartment,11102,14984302,14984302,101.71732649720789
2303,2.0,1.0,1.0,1.0,queens,40.764882468098975,-73.92402479359369,NYC,Apartment,11102,8781958,8781958,117.03746532096879
2661,4.0,1.0,1.0,3.0,queens,40.7714526464017,-73.93008380889894,NYC,House,11102,15940328,15940328,143.97522684760915
2927,2.0,1.0,1.0,1.0,queens,40.77349007567787,-73.92648386698917,NYC,Apartment,11102,11407817,11407817,117.03746532096879
2966,4.0,1.0,1.0,2.0,queens,40.76834475802481,-73.9263550301972,NYC,Apartment,11102,1377297,1377297,134.66504439765208
3056,2.0,1.0,1.0,2.0,astoria,40.77055622494807,-73.92159157392847,NYC,Apartment,11102,3412893,3412893,117.03746532096879
3300,3.0,1.0,1.0,2.0,queens,40.77016391159519,-73.92222613778706,NYC,Apartment,11102,9314873,9314873,127.04765571560557
3662,3.0,1.0,0.0,2.0,queens,40.768456225072754,-73.91836271553031,NYC,Apartment,11102,11776141,11776141,113.62801964734633
3725,2.0,1.0,0.0,1.0,new york,40.76869605544199,-73.91974533101096,NYC,Apartment,11102,15344495,15344495,104.6751735328017
3743,11.0,1.0,2.0,5.0,queens,40.77251073440857,-73.9225750745619,NYC,House,11102,16354170,16354170,197.55686040668002
4069,3.0,1.0,1.0,1.0,queens,40.76622511317389,-73.91901594633917,NYC,Apartment,11102,7086331,7086331,127.04765571560557
4094,7.0,1.0,1.0,4.0,queens,40.766003861842215,-73.92681597275437,NYC,Apartment,11102,14820644,14820644,150.81585152119513
4242,2.0,1.0,1.0,1.0,new york,40.76958098677077,-73.9222305228721,NYC,Apartment,11102,4993422,4993422,117.03746532096879
